Food ID,Business Name,URL Link
3,Ayam Penyet Ria - Nex,https://www.google.com/maps/place/Ayam+Penyet+Ria+-+Nex/data=!4m7!3m6!1s0x31da172db057dda3:0x14dfcc27d35b636!8m2!3d1.3506853!4d103.8719911!16s%2Fg%2F11s3wg6s02!19sChIJo91XsC0X2jERNrY1fcL8TQE?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - Lucky Plaza,https://www.google.com/maps/place/Ayam+Penyet+President+-+Lucky+Plaza/data=!4m7!3m6!1s0x31da1992129014d1:0x869f55c820947fad!8m2!3d1.3045795!4d103.8340621!16s%2Fg%2F1tdd2smt!19sChIJ0RSQEpIZ2jERrX-UIMhVn4Y?authuser=0&hl=en&rclk=1
3,Ayam Penyet Ria - Bugis Village,https://www.google.com/maps/place/Ayam+Penyet+Ria+-+Bugis+Village/data=!4m7!3m6!1s0x31da195c61fe9197:0xd5c039e87545b317!8m2!3d1.3004312!4d103.8553295!16s%2Fg%2F11t6zyvjx1!19sChIJl5H-YVwZ2jERF7NFdeg5wNU?authuser=0&hl=en&rclk=1
3,Ayam Penyet President,https://www.google.com/maps/place/Ayam+Penyet+President/data=!4m7!3m6!1s0x31da184bf707737b:0x98815478049bdae2!8m2!3d1.3035805!4d103.8723562!16s%2Fg%2F11b8v87958!19sChIJe3MH90sY2jER4tqbBHhUgZg?authuser=0&hl=en&rclk=1
3,Ayam Penyet Ria - Lucky Plaza,https://www.google.com/maps/place/Ayam+Penyet+Ria+-+Lucky+Plaza/data=!4m7!3m6!1s0x31da1979e44081ff:0x7e1c4df00656345!8m2!3d1.3044357!4d103.8338578!16s%2Fg%2F11kbtpkcwk!19sChIJ_4FA5HkZ2jERRWNlAN_E4Qc?authuser=0&hl=en&rclk=1
3,Ayam Penyet No.1,https://www.google.com/maps/place/Ayam+Penyet+No.1/data=!4m7!3m6!1s0x31da22d6b08e8919:0x69919c1f80185d31!8m2!3d1.3203071!4d103.9556133!16s%2Fg%2F11c1_v_92h!19sChIJGYmOsNYi2jERMV0YgB-ckWk?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - The Venue Shoppes Potong Pasir,https://www.google.com/maps/place/Ayam+Penyet+President+-+The+Venue+Shoppes+Potong+Pasir/data=!4m7!3m6!1s0x31da177ac01f86f3:0x10a81cad5a50377f!8m2!3d1.3292466!4d103.8689931!16s%2Fg%2F11t58d1wnv!19sChIJ84YfwHoX2jERfzdQWq0cqBA?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - Century Square Tampines,https://www.google.com/maps/place/Ayam+Penyet+President+-+Century+Square+Tampines/data=!4m7!3m6!1s0x31da3d11893d3b8f:0x79fe1217a808b049!8m2!3d1.352505!4d103.9439658!16s%2Fg%2F11b76v5qhz!19sChIJjzs9iRE92jERSbAIqBcS_nk?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - Northpoint Yishun,https://www.google.com/maps/place/Ayam+Penyet+President+-+Northpoint+Yishun/data=!4m7!3m6!1s0x31da146f818230eb:0x3f08f74d65860828!8m2!3d1.4292189!4d103.836102!16s%2Fg%2F11fx95kt_h!19sChIJ6zCCgW8U2jERKAiGZU33CD8?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - JCube Jurong East,https://www.google.com/maps/place/Ayam+Penyet+President+-+JCube+Jurong+East/data=!4m7!3m6!1s0x31da1005895f2c21:0xe76d480176dde1cd!8m2!3d1.3333267!4d103.7404568!16s%2Fg%2F11dxdj9yr_!19sChIJISxfiQUQ2jERzeHddgFIbec?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - Hillion Bukit Panjang,https://www.google.com/maps/place/Ayam+Penyet+President+-+Hillion+Bukit+Panjang/data=!4m7!3m6!1s0x31da11bb500fb449:0x1e834a4b6efe44d2!8m2!3d1.3784644!4d103.7636339!16s%2Fg%2F11dx9x1xg_!19sChIJSbQPULsR2jER0kT-bktKgx4?authuser=0&hl=en&rclk=1
3,Ayam Penyet President Express - Midtown Hougang,https://www.google.com/maps/place/Ayam+Penyet+President+Express+-+Midtown+Hougang/data=!4m7!3m6!1s0x31da174885b3d3e3:0xd3bc9cf221aa58d3!8m2!3d1.3704016!4d103.8949081!16s%2Fg%2F11lgdqvfwh!19sChIJ49OzhUgX2jER01iqIfKcvNM?authuser=0&hl=en&rclk=1
